"SampleID","TAXAID","TotTranLngth_m","Juvenile","DiamMax_cm","DiamPerp_cm","Height_cm","TotMort_pct"
"Samp0084","Siderastrea siderea",10,FALSE,4,3,1,0
"Samp0084","Siderastrea siderea",10,FALSE,4,3,2,0
"Samp0084","Siderastrea siderea",10,FALSE,4,3,4,10
"Samp0084","Porites astreoides",10,FALSE,12,8,10,0
"Samp0084","Orbicella franksi",10,FALSE,38,30,28,85
"Samp0084","Orbicella faveolata",10,FALSE,22,9,8,10
"Samp0084","Orbicella faveolata",10,FALSE,13,9,2,10
"Samp0084","Mussa angulosa",10,FALSE,6,5,1,0
"Samp0084","Madracis decactis",10,FALSE,10,5,8,30
"Samp0084","Madracis decactis",10,FALSE,9,6,8,0
"Samp0084","Agaricia fragilis",10,FALSE,5,4,1,0
"Samp0084","Agaricia agaricites",10,FALSE,19,13,9,60
"Samp0084","Agaricia agaricites",10,FALSE,5,4,1,0
"Samp0084","Agaricia agaricites",10,FALSE,5,3,1,0
"Samp0084","Agaricia agaricites",10,FALSE,4,2,1,0
"Samp0084","Agaricia agaricites",10,FALSE,4,4,3,0
"Samp0113","Stephanocoenia intersepta",10,FALSE,10,8,6,30
"Samp0113","Stephanocoenia intersepta",10,FALSE,7,5,4,15
"Samp0113","Stephanocoenia intersepta",10,FALSE,7,5,5,40
"Samp0113","Siderastrea siderea",10,FALSE,22,15,12,90
"Samp0113","Siderastrea siderea",10,FALSE,20,15,13,40
"Samp0113","Siderastrea siderea",10,FALSE,13,11,8,40
"Samp0113","Siderastrea siderea",10,FALSE,10,5,8,0
"Samp0113","Siderastrea siderea",10,FALSE,9,6,5,40
"Samp0113","Siderastrea siderea",10,FALSE,9,5,6,25
"Samp0113","Siderastrea siderea",10,FALSE,7,4,4,30
"Samp0113","Siderastrea siderea",10,FALSE,7,4,5,0
"Samp0113","Siderastrea siderea",10,FALSE,6,4,4,90
"Samp0113","Siderastrea siderea",10,FALSE,4,3,1,0
"Samp0113","Siderastrea radians",10,FALSE,7,4,3,75
"Samp0113","Siderastrea radians",10,FALSE,5,3,2,40
"Samp0113","Porites porites",10,FALSE,11,8,10,10
"Samp0113","Porites porites",10,FALSE,9,7,10,35
"Samp0113","Porites porites",10,FALSE,6,5,9,0
"Samp0113","Porites porites",10,FALSE,4,3,1,0
"Samp0113","Porites astreoides",10,FALSE,9,6,8,95
"Samp0113","Porites astreoides",10,FALSE,7,4,2,35
"Samp0113","Porites astreoides",10,FALSE,7,5,6,35
"Samp0113","Porites astreoides",10,FALSE,7,5,6,30
"Samp0113","Porites astreoides",10,FALSE,4,2,2,0
"Samp0113","Mycetophyllia aliciae",10,FALSE,7,6,1,0
"Samp0113","Eusmilia fastigiata",10,TRUE,3,2,1,0
"Samp0113","Agaricia fragilis",10,FALSE,8,4,1,0
"Samp0113","Agaricia fragilis",10,FALSE,4,3,1,0
"Samp0113","Agaricia agaricites",10,FALSE,4,3,1,0
"Samp0113","Agaricia agaricites",10,FALSE,4,3,1,0
"Samp0113","Agaricia agaricites",10,FALSE,4,2,1,0
"Samp0150","Stephanocoenia intersepta",10,FALSE,26,21,11,20
"Samp0150","Stephanocoenia intersepta",10,FALSE,8,5,4,30
"Samp0150","Stephanocoenia intersepta",10,FALSE,5,4,2,0
"Samp0150","Siderastrea siderea",10,FALSE,8,5,4,10
"Samp0150","Siderastrea siderea",10,FALSE,5,3,2,0
"Samp0150","Siderastrea siderea",10,FALSE,5,4,3,50
"Samp0150","Montastraea cavernosa",10,FALSE,15,9,8,20
"Samp0150","Madracis decactis",10,FALSE,12,9,9,70
"Samp0150","Madracis decactis",10,FALSE,6,5,3,30
"Samp0150","Agaricia agaricites",10,FALSE,10,8,1,0
"Samp0185","Siderastrea siderea",10,FALSE,52,33,22,85
"Samp0185","Siderastrea siderea",10,FALSE,28,28,14,75
"Samp0185","Siderastrea siderea",10,FALSE,26,16,12,70
"Samp0185","Siderastrea siderea",10,FALSE,21,8,10,95
"Samp0185","Siderastrea siderea",10,FALSE,12,9,5,10
"Samp0185","Siderastrea siderea",10,FALSE,9,6,7,75
"Samp0185","Siderastrea radians",10,TRUE,3,2,1,0
"Samp0185","Porites porites",10,FALSE,30,21,14,40
"Samp0185","Porites porites",10,FALSE,24,19,13,60
"Samp0185","Porites porites",10,FALSE,18,11,12,70
"Samp0185","Porites porites",10,FALSE,9,5,4,15
"Samp0185","Porites porites",10,FALSE,8,5,6,90
"Samp0185","Porites porites",10,FALSE,7,6,4,30
"Samp0185","Porites porites",10,FALSE,7,6,5,60
"Samp0185","Porites porites",10,FALSE,7,6,7,80
"Samp0185","Porites astreoides",10,FALSE,15,10,6,5
"Samp0185","Porites astreoides",10,FALSE,9,5,5,40
"Samp0185","Porites astreoides",10,FALSE,8,5,2,0
"Samp0185","Porites astreoides",10,FALSE,7,5,3,30
"Samp0185","Eusmilia fastigiata",10,FALSE,19,12,13,85
"Samp0185","Dichocoenia stokesii",10,FALSE,4,3,1,0
"Samp0185","Agaricia agaricites",10,FALSE,13,11,5,20
"Samp0185","Agaricia agaricites",10,FALSE,8,6,1,10
"Samp0185","Agaricia agaricites",10,FALSE,7,5,1,60
"Samp0185","Agaricia agaricites",10,FALSE,5,4,2,0
"Samp0199","Siderastrea siderea",10,FALSE,8,4,3,0
"Samp0199","Siderastrea siderea",10,FALSE,8,6,3,40
"Samp0199","Siderastrea radians",10,FALSE,5,3,1,0
"Samp0199","Siderastrea radians",10,FALSE,4,2,1,0
