DataSource,SampleID,TotTranLngth_m,SampDate,TAXAID,CommonName,Juvenile,DiamMax_cm,DiamPerp_cm,Height_cm,TotMort_pct,BCG_ATTR,Weedy,LRBC,MorphConvFact,Phylum,Class,SubClass,Order,Family,Genus,SubGenus,Species
NCRMP,Samp0004,10,5/28/2015,Montastraea cavernosa,Great star coral,TRUE,,,,95,4,Never,TRUE,2,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Montastraeidae,Montastraea,Anthozoa,cavernosa
NCRMP,Samp0004,10,5/28/2015,Montastraea cavernosa,Great star coral,TRUE,,,,46,4,Never,TRUE,2,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Montastraeidae,Montastraea,Anthozoa,cavernosa
NCRMP,Samp0004,10,5/28/2015,Pseudodiploria clivosa,Knobby brain coral,TRUE,,,,85,4,Never,TRUE,2,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Mussidae,Pseudodiploria,Anthozoa,clivosa
NCRMP,Samp0004,10,5/28/2015,Pseudodiploria clivosa,Knobby brain coral,TRUE,,,,10,4,Never,TRUE,2,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Mussidae,Pseudodiploria,Anthozoa,clivosa
NCRMP,Samp0004,10,5/28/2015,Pseudodiploria clivosa,Knobby brain coral,TRUE,,,,6,4,Never,TRUE,2,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Mussidae,Pseudodiploria,Anthozoa,clivosa
NCRMP,Samp0004,10,5/28/2015,Orbicella annularis,Lobed star coral,TRUE,,,,63,3,Never,TRUE,3,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Merulinidae,Orbicella,Anthozoa,annularis
NCRMP,Samp0004,10,5/28/2015,Orbicella faveolata,Mountainous star coral,TRUE,,,,67,3,Never,TRUE,2,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Merulinidae,Orbicella,Anthozoa,faveolata
NCRMP,Samp0004,10,5/28/2015,Orbicella faveolata,Mountainous star coral,TRUE,,,,41,3,Never,TRUE,2,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Merulinidae,Orbicella,Anthozoa,faveolata
NCRMP,Samp0004,10,5/28/2015,Porites astreoides,Mustard hill coral,TRUE,,,,95,5,Sometimes,FALSE,2,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Poritidae,Porites,Anthozoa,astreoides
NCRMP,Samp0004,10,5/28/2015,Porites astreoides,Mustard hill coral,TRUE,,,,11,5,Sometimes,FALSE,2,Cnidaria,Anthozoa,Cnidaria,Scleractinia,Poritidae,Porites,Anthozoa,astreoides
