INDEX_CLASS,SampleID,TAXAID,N_TAXA
CIP_medium,KS_0042,MESOVELIA,1
CIP_medium,KS_0042,MUSCULIUM,1
CIP_medium,KS_0042,MUSCULIUM TRANSVERSUM,31
CIP_medium,KS_0042,NASIAESCHNA PENTACANTHA,1
CIP_medium,KS_0042,NATARSIA,1
CIP_medium,KS_0042,NEOPORUS DIMIDIATUS,2
CIP_medium,KS_0042,OLIGOCHAETA,4
CIP_medium,KS_0042,ORCONECTES VIRILIS,5
CIP_medium,KS_0042,PALAEMONETES KADIAKENSIS,1
CIP_medium,KS_0042,PLACOBDELLA,1
CIP_medium,KS_0042,POLYPEDILUM (POLYPEDILUM) ILLINOENSE GR,2
CIP_medium,KS_0042,POLYPEDILUM (TRIPODURA),1
CIP_medium,KS_0042,POLYPEDILUM (URESIPEDILUM) CONVICTUM,3
CIP_medium,KS_0042,RHEOTANYTARSUS,1
CIP_medium,KS_0042,SIMULIUM,48
CIP_medium,KS_0042,SPHAERIUM,1
CIP_medium,KS_0042,STAPHYLINIDAE,3
CIP_medium,KS_0042,STENACRON INTERPUNCTATUM,6
CIP_medium,KS_0042,STENELMIS,21
CIP_medium,KS_0042,STENELMIS SEXLINEATA,5
CIP_medium,KS_0042,STENELMIS VITTIPENNIS,4
CIP_medium,KS_0042,STENONEMA FEMORATUM,3
CIP_medium,KS_0042,THIENEMANNIMYIA GROUP,2
CIP_medium,KS_0042,TROPISTERNUS,1
CIP_medium,KS_0043,ACERPENNA PYGMAEA,4
CIP_medium,KS_0043,ARGIA,2
CIP_medium,KS_0043,BAETIDAE,1
CIP_medium,KS_0043,BAETIS,6
CIP_medium,KS_0043,BEROSUS,2
CIP_medium,KS_0043,CALOPTERYGIDAE,1
CIP_medium,KS_0043,CAMBARINCOLA,1
CIP_medium,KS_0043,CHEUMATOPSYCHE,72
CIP_medium,KS_0043,CHIMARRA OBSCURA,12
CIP_medium,KS_0043,CHIRONOMIDAE,3
CIP_medium,KS_0043,COENAGRIONIDAE,1
CIP_medium,KS_0043,CORBICULA FLUMINEA,2
CIP_medium,KS_0043,CORYDALUS CORNUTUS,1
CIP_medium,KS_0043,CRYPTOCHIRONOMUS,2
CIP_medium,KS_0043,CYMBIODYTA,2
CIP_medium,KS_0043,DINEUTUS,4
CIP_medium,KS_0043,DUBIRAPHIA,3
CIP_medium,KS_0043,DUGESIA,9
CIP_medium,KS_0043,ELMIDAE,1
CIP_medium,KS_0043,ENALLAGMA,5
CIP_medium,KS_0043,GOMPHUS MILITARIS,1
CIP_medium,KS_0043,GYRETES,1
CIP_medium,KS_0043,HELICOPSYCHE PIORA,1
CIP_medium,KS_0043,HEPTAGENIIDAE,1
CIP_medium,KS_0043,HETAERINA,3
CIP_medium,KS_0043,HETAERINA AMERICANA,3
CIP_medium,KS_0043,HETEROSTERNUTA DIVERSICORNIS,3
CIP_medium,KS_0043,HYALELLA AZTECA,2
CIP_medium,KS_0043,HYDROPSYCHE SIMULANS,26
